03 juin 2022 08:33:33,349 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@26d96e5] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 08:33:33,414 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@3672276e] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 08:33:33,596 [main] INFO  {org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator} - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
03 juin 2022 08:33:33,741 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 08:33:33,836 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 08:33:33,876 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Record not found. 
03 juin 2022 08:33:33,880 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 08:34:41,631 [main] INFO  {org.hibernate.Version} - HHH000412: Hibernate Core {5.4.5.Final} 
03 juin 2022 08:34:42,036 [main] INFO  {org.hibernate.annotations.common.Version} - HCANN000001: Hibernate Commons Annotations {5.1.0.Final} 
03 juin 2022 08:34:44,193 [main] WARN  {org.hibernate.orm.connections.pooling} - HHH10001002: Using Hibernate built-in connection pool (not for production use!) 
03 juin 2022 08:34:44,198 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
